Дата прохождения,Респондент,"Я знаю, чего от меня ожидает компания",Мой руководитель ставит четкие цели для нашей команды,"Я вижу прямую связь между тем, что я делаю и успехами компании","В компании есть тот, кто помогает мне развиваться профессионально","Мой руководитель дает мне обратную связь, которая помогает улучшить мою работу","Я знаю, как пройти обучение и с кем в компании можно его обсудить",В компании есть возможности для моего роста и развития,Компания предоставляет мне все необходимые ресурсы для работы,Меня устраивает мой компьютер и остальная рабочая техника,"Если в работе что-то идет не по плану, я всегда знаю, кого попросить о помощи",Мой руководитель регулярно делится со мной актуальной информацией о целях компании,"Я понимаю, куда движется компания и как она планирует развиваться",Я узнаю новости о изменениях в компании вовремя,"Я знаю, какие роли у ребят в других командах и какими навыками они обладают","Если я захочу найти в компании эксперта в какой-то области, то легко это сделаю, даже не зная его имени",Я общаюсь с коллегами за пределами своей команды и/или рабочей группы,У меня на работе есть друг,В большинстве случаев мои коллеги качественно выполняют свою работу,Коллеги всегда оперативно реагируют на мои сообщения и не пропускают их,Я никогда не пропускаю сообщения от коллег или руководителя,"Я всегда знаю, в какой чат мне написать с вопросом или предложением",Меня никогда не забывали добавить в нужный рабочий чат,Я готов рекомендовать нашу компанию своим друзьям и знакомым,Какие изменения за последний год тебя порадовали?,Что тебе нравится в компании меньше всего?,"Есть ли в компании что-то, что тормозит твою работу?",Оставь любой комментарий и мы его прочитаем :)
2022-12-05 22:45:45,Респондент 169,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,,дух стартапа и вовлеченность сотрудников,,
2022-11-30 16:48:28,Респондент 1,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Нет,,,,
2022-11-30 17:23:01,Респондент 74,Нет,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Да," Я тут всего месяц, поэтому порадовало пока только то, что добавили специальные насадки на бутылки с сиропом и теперь не нужно брать их руками)",Отсутствие ДМС вне Москвы,Только моя текущая квалификация,
2022-12-01 10:39:56,Респондент 97,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Быстрая помощь от коллег, оперативность в различных вопросах",,нет,Крутая поддержка в компании. 
2022-11-30 16:53:35,Респондент 58,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,"индексация з/п, ДМС, переезд в новый офис",,,
2022-12-02 18:04:42,Респондент 70,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,"Появление ДМС, появление понимания количества и возможностей Dayoff-ов (это же этот год?)",Отстуствие больших сетей в ДМС. Отсутствие курительной кабины.,Нет.,
2022-11-30 18:50:40,Респондент 14,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Повышение зарплаты, 100% промокод на сессии в Ясно, изменение некоторых рабочих механик за счет создания workspace, стало очень удобно. ","Как сотруднику удаленки - не хватает очного общения с коллегами, корпоративов. ","В голову ничего не приходит. Вероятно, нет таких факторов)","Очень рада работать в Каме, когда очень грустно, я вспоминаю, что у меня есть прекрасная работа, которая действительно радует. И замечательные коллеги, с которыми можно пообщаться не только на рабочие темы. Кама one love <3"
2022-12-01 10:42:59,Респондент 82,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,"Переезд в новый офис и новая расстановка, теперь сижу ближе к команде (той которая осталась в офисе)",В кофепоинтах кофейные зёрна хуже чем в столовой(,"Над процессом дизайна новых слотов стоит подумать. Кажется, что он не оптимален, но что именно в нем поменять (кроме переброса диздоков из гугла в вики) - хз, нужно думать...","почтим память курилки минутой молчания...




(и вкусный кофе в кофепоинты!)"
2022-12-05 14:00:00,Респондент 159,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Да,Нет,Нет,Да,- новый офис и все что с ним связано,"- отсутствие курилки
- самодурство некоторых отдельных личностей, но без этого увы никак и такое есть везде
- иногда плохая коммуникация
- редкий внутриполитический контекст компании, мешающий быстрому принятию решений и изменению процессов (речь не про политику нашей страны)",люди,"я анимешница , и я посмотрела больше 90 АНИМЕ ! у меня куча вищей, плакатов 4 фегурки , подушка обнимашка и Т.Д АНИМЕ я смотрела с 7 лет и тогда я уже знала что такое ХЕНТАЙ , ЯОЙ , ЮРИ (это жанры) и ввот и все мои одноклассники спрашевали во 2-ом классе
они : ГОСПОДИ ты что смотришь
А_Н_И_М_Е !?
я : да и что ?
они : ООО ГОСПОДИ ты что ещё и ресуешь аниме!?
я : ДАААА !!!! блин! а чё мне еще делать та !!!
смотреть б**ть Машу и медведь !!
они : 😐🤔 ммм.... ДА! потому что Аниме
это же для пидора**в !
я : 🤔🤔😐😶 эм НОООУ !!! короче
ты ЛЫСЫЙ СУСЛИК рас не чего не понимаеш ... и
Я сразу убежала прочь !! 🏃‍♀🏃‍♀ просто РАН , ВАСЯ, РАН !!! и мне 14 лет на сегодня и я все ещё АНИМЕШНИЦА !!!!"
2022-12-01 12:38:33,Респондент 100,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,"Увеличение зарплаты и компенсация затрат на спорт. Поскольку я удаленщик, других изменений я особо не заметил.",,,
2022-11-30 18:38:21,Респондент 85,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Нет,"Сервис Ясно, дмс и Англ","Не знаем имен друг-друга, многие не здороваются. Хотя работаем на одном этаже. Тут априори не может быть других людей, то есть если кто-то идет навстречу - значит 99 из 100 точно твой коллега.","Люди, которые почему-то считают, что твоя работа не такая важная или размазывают конкретный вопрос в долгую переписку ни о чем",Хорошего дня
2022-11-30 17:31:22,Респондент 67,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Нет,Нет,Да,"Новый офис
Расширение производства
Чуть более прозрачные процессы в производстве
Сильно более осмысленный подход к производству нового контента в приложении
Отношение к сотрудникам, желающим продолжить сотрудничество в другой стране",,,
2022-12-05 12:55:25,Респондент 163,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Новый офис, дружелюбный коллектив (я недавно в компании)","Программисты Казино и ДВГ существуют как-то очень отдельно и нет каких то регулярных рабочих коммуникаций (например, тестировщики регулярно все встречаются и в курсе,  что у каждого в отделе делается) . Было бы неплохо иногда делится опытом между командами - думаю, это всем было бы полезно",Не всегда есть чёткий пул задач. Поэтому иногда приходится ждать новую задачку,KamaGames <3
2022-12-02 13:04:44,Респондент 127,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,,,,
2022-11-30 18:37:16,Респондент 13,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Нет,Да,Нет,Да,Да,Да,Нет,Да,Да,появление ДМС,отсутствие курительной кабины,если только я сам),все будет хорошо)
2022-12-02 01:53:02,Респондент 105,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Да,Нет,,,,
2022-11-30 16:59:07,Респондент 9,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Нет,Да,"> порадовали
Куда проще написать что огорчает, но и этого не будет.",-,Есть.,"⠸⣷⣦⠤⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣀⣠⣤⠀⠀⠀
⠀⠙⣿⡄⠈⠑⢄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⠔⠊⠉⣿⡿⠁⠀⠀⠀
⠀⠀⠈⠣⡀⠀⠀⠑⢄⠀⠀⠀⠀⠀⠀⠀⠀⠀⡠⠊⠁⠀⠀⣰⠟⠀⠀⠀⣀⣀
⠀⠀⠀⠀⠈⠢⣄⠀⡈⠒⠊⠉⠁⠀⠈⠉⠑⠚⠀⠀⣀⠔⢊⣠⠤⠒⠊⠉⠀⡜
⠀⠀⠀⠀⠀⠀⠀⡽⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠩⡔⠊⠁⠀⠀⠀⠀⠀⠀⠇
⠀⠀⠀⠀⠀⠀⠀⡇⢠⡤⢄⠀⠀⠀⠀⠀⡠⢤⣄⠀⡇⠀⠀⠀⠀⠀⠀⠀⢰⠀
⠀⠀⠀⠀⠀⠀⢀⠇⠹⠿⠟⠀⠀⠤⠀⠀⠻⠿⠟⠀⣇⠀⠀⡀⠠⠄⠒⠊⠁⠀
⠀⠀⠀⠀⠀⠀⢸⣿⣿⡆⠀⠰⠤⠖⠦⠴⠀⢀⣶⣿⣿⠀⠙⢄⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⢻⣿⠃⠀⠀⠀⠀⠀⠀⠀⠈⠿⡿⠛⢄⠀⠀⠱⣄⠀⠀⠀⠀ 
⠀⠀⠀⠀⠀⠀⠀⢸⠈⠓⠦⠀⣀⣀⣀⠀⡠⠴⠊⠹⡞⣁⠤⠒⠉⠀⠀⠀⠀⠀ 
⠀⠀⠀⠀⠀⠀⣠⠃⠀⠀⠀⠀⡌⠉⠉⡤⠀⠀⠀⠀⢻⠿⠆⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠰⠁⡀⠀⠀⠀⠀⢸⠀⢰⠃⠀⠀⠀⢠⠀⢣⠀⠀⠀⠀⠀⠀⠀⠀ 
⠀⠀⠀⢶⣗⠧⡀⢳⠀⠀⠀⠀⢸⣀⣸⠀⠀⠀⢀⡜⠀⣸⢤⣶⠀⠀⠀⠀⠀⠀ 
⠀⠀⠀⠈⠻⣿⣦⣈⣧⡀⠀⠀⢸⣿⣿⠀⠀⢀⣼⡀⣨⣿⡿⠁⠀⠀⠀⠀⠀⠀ 
⠀⠀⠀⠀⠀⠈⠻⠿⠿⠓⠄⠤⠘⠉⠙⠤⢀⠾⠿⣿⠟⠋⠀⠀⠀⠀⠀⠀⠀⠀"
2022-11-30 17:00:17,Респондент 62,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,,,,
2022-12-01 18:52:41,Респондент 104,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,,,,
2022-11-30 18:21:06,Респондент 21,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,,,,
2022-11-30 18:34:45,Респондент 79,Да,Нет,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,"Воу это моя первая работа тестировщиком! И это было классно. Спасибо всем кто поверил в меня на первых этапах. Теперь я точно знаю, что могу! ","Мне нравится абсолютно все! Даже с учетом того, что меня мягко попросили уволиться) Я ни о чем не жалею, н и о ч е м! Компания правда классная, с крутым продуктом",Ну видимо это я сам)) ,"Спасибо, что дочитал до конца! Вот напоследок анекдот: Ребенок - это как пердёж... нравятся только свой =) "
2022-12-02 15:44:52,Респондент 142,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Нет,Нет,Да,Да,,,,
2022-12-02 12:54:39,Респондент 117,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Индексация зп :),,,"спасибо за то, что даете развиваться вместе с вами :)"
2022-11-30 16:48:48,Респондент 52,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,удалёнка ,,,
2022-11-30 17:00:53,Респондент 61,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,,Отсутствие графика или разъяснения принципа увеличения З/П,Отсутствие адекватных механизмов удаленной работы,
2022-11-30 20:55:06,Респондент 38,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Да,"Я работаю всего два месяца, аааааа))))))",Пока всё нравится,Неть,"Анекдот:
Хакеры взломали сервер Ватикана, утащили кучу секретной информации и по чуть-чуть выкладывают в общий доступ.
Папа римский собрал совет кардиналов, ответственных за информационную безопасность.
— Выши приосвященства, это позор! Полицейские компьютерщики, говорят что сервер не был взломан, злоумышленники просто ввели пароль.
Я же просил, установить самый надёжный пароль!
— Но, Ваше Святейшество, мы выбрали надёжнейший пароль, год возведения на престол, самого малоизвестного папы — Иннокентия IV
— Неужели, напомните, в каком году это произошло?
— Ну как же, понтифик, в тысяча двести тридцать четвёртом."
2022-11-30 17:15:41,Респондент 72,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Нет,Да,Да,Да,Нет,Да,Да,"Меня порадовали:
Новый просторный офис.
Прекрасный сервис АХС в новом офисе.
Забота компании о сотрудниках в период частичной мобилизации(режим работы, индивидуальный подход).",,,
2022-12-15 23:39:48,Респондент 35,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,,,,
2022-11-30 18:55:27,Респондент 81,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Да,Да,Мощная и душевная команда HR! Очень много полезных образовательных ивентов. ДМС. Новый офис действительно просторный и многофункциональный. Растения! Большое развитие моей собственной команды. ,"Вид из офиса. Юридический отдел слишком долго занимается подписанием документов по партнёрам маркетинга. Нужны новые юристы-международники! Отсутствие системы грейдов для младших сотрудников (но я знаю, что в разработке всё). ",Непрозрачность процессов в некоторых отделах. ,"Соня, огромное спасибо за вклад во внутренние коммуникации и развитие разных команд! Отдельный респект за организацию корпоратива и активностей по праздникам и не только! Ты душа компании! Кирилл, мы наконец-то проводим обучения и стали серьёзнее задумываться про развитие своё и подчинённых, очень было нужно всем отделам и лидам Камы! Саша, спасибо за внедрения разных hr-решений и технологий: чувствуется, что мы под чутким присмотром профессионала! "
2022-11-30 16:58:49,Респондент 27,Да,Да,Да,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет,Да,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Да,Нет,Да, когда зп на 25% повысили,"1) что ко мне могу подойти внезапно со спины.. и это пиздец пугает.
2) стабильность в росте зп","Периодически комп.
И с завидной периодичностью - решения проблем других, после чего на твою работу остается меньше времени.","Блин, ребят, спасибо Вам что спрашиваете и интересуетесь. Это круто."
2022-12-05 12:13:39,Респондент 158,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Уровень работы с кодом, задачи по проведению симуляций, работа с анализом векторов и графов. Очень хочется попробовать себя в машинном обучении. Но я уже занялся внеклассным чтением для себя, чтобы понять, как это всё работает. ","На самом деле уровень того, что мне нравится меньше всего довольно малый. Хотелось бы больше вкусных печений. А то порой не успеваю на ""золотые часы"", когда они появляются. Довольно быстро разбирают. ",Нет. ,"Любой комментарий! Спасибо, что прочитали! "
2022-12-01 13:28:01,Респондент 101,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Нет,Да,Нет,Да,Да,Да,Да,"Установите, пожалуйста, турник! Очень не хватает",,,
2022-12-02 12:58:31,Респондент 124,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,,,,
2022-12-02 15:30:48,Респондент 125,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,"В новом офисе стало теплее, и я теперь не мерзну на работе
Команда растет
Интересные задачи","Фиксированные отпуска
",нет,Кажется становиться лучше)
2022-12-01 09:55:06,Респондент 15,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,,,,
2022-11-30 17:14:15,Респондент 37,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,"Меня порадовал переезд в новый офис, увеличение кухни. Индексация зарплаты после начала СВО. Приятно, что в в компанию стали нанимать больше симпатичных девушек. Обучение кадров в руководстве тоже стало заметным. Андрей Давыдов стал более коммуникабельным и комфортным человеком для взаимодействия. ",Отсутствие обедов или их компенсации,"Несогласованность отделов подготовке задач. Когда я начинаю реализацию задачи, часть необходимых сопутствующих материалов не готова, или находится не в финальной версии. Так что часто возникают вынужденные простои в разработке.","Неплохо было бы ввести:
1) Компенсацию питания (хотя бы в некотором объеме, скажем, 500 р в день) и общественного транспорта (у меня выходит около 1200 в месяц за тройку).
2) Возможность работать удаленно по желанию (например пару дней в неделю), либо фиксированное количество дней в год (например 50). Что бы не было с этим проблем. По моим личным наблюдениям сотрудники часто используют home office в качестве удаленки, без реальной причины, коей является плохое самочувствие. Вероятно это показывает реальную потребность в возможности иногда работать удаленно.
3) Возможность брать отпуск в любое время в году по своему усмотрению, а не в фиксированные промежутки дат.
4) Проводить ежегодную индексацию зарплаты относительно инфляции и реального роста цен. Несмотря на то, что моя зарплата периодически растет, реальный рост цен и изменения экономической ситуации делают ее изменения не столь ощутимыми. Не могу сказать, что за последний год учитывая рост моей зарплаты я смог позволять себе больше, учитывая подорожание еды, бензина, стоимости одежды и прочих расходов. Индексация, которая была проведена после начала СВО была очень кстати.
5) Проводить больше совместных активностей, где могут участвовать различные отделы компании. Что бы народ общался и отдыхал.

В любом случае, спасибо большое всему руководству и команде hr за все старания. За последний год произошло много всего позитивного, и я благодарен за эти изменения :)"
2022-12-01 10:02:20,Респондент 25,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,"Порадовали: ДМС, Skyeng, индексация ЗП.","Не нравится неравномерное распределение задач среди сотрудников отдела и отсутствие понимания сколько времени необходимо потратить на эту задачу, со стороны тех кто ее ставит (то есть задачи внутри одного отдела могут быть распределены по направлениям за которое отвечает сотрудник или несколько сотрудников, эти задачи могут сильно отличаются по объему, сложности и.т.д).
Из-за отсутствие этого понимания возникают ситуации, когда на задачу одним сотрудникам даётся в разы меньше времени чем этого требуется, а другим сотрудникам наоборот на задачу выделяют больше времени чем она того требует и возникают ситуации когда одни работают в 4 руки чтобы вести одновременно несколько задач, а другие могут пол дня пить кофе и думать о вечном. Суммарно по окончанию месяца оба сотрудника выполнили примерно одинаковое количество задач, но КПД у этих задач совершенно разное, так же как количество сил необходимое для их реализации. 
Также не нравится что за несколько лет работы у меня нет четкого представления о перспективах карьерного роста и о перспективах роста ЗП, то есть нет четких критериев по которым можно ориентироваться.
Не нравится что индексация ЗП на уровень инфляции не проходит каждый год, как это делается во многих других компаниях.
Также не нравится что на портале для сотрудников редко появляются новые книги, хотелось бы сделать распределения библиотеки по направлениям и пополнить ее новой литературой.","Постановка задач и их согласование, проходит крайне не рационально. Часто бывает, что после того как ты отправишь файлы тебе пишут что все ок, можно делать дальше. А спустя 3 дня оказывается что кто-то ещё посмотрел, ему не нравится, давай переделаем. Плохое наполнение задач информацией, приходится задать ещё много доп. вопросов для того чтобы понять что именно нужно сделать, самому наполнить задачу ссылками требованиями и прочим. ","В целом работу в Каме, могу оценить как очень комфортную. Классные условия для работы во всех отношениях. Нравится что компания заботится о сотрудниках, постоянно движется вперед. При любом удобном случае рекомендую работу в Каме. Спасибо! "
2022-12-02 15:43:53,Респондент 137,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Да,Да,Да,Да,Смена офиса и рабочего пространства,Не всегда оперативно приходит фитбек на мою работу,"Не всегда оперативно приходит фитбек на мою работу от руководства, не всегда есть понимание что делать дальше.",Спасибо за опросник)
2022-12-05 15:30:13,Респондент 18,Да,Нет,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Не застала изменений ,Отсутствие фидбека от руководства. ,Неясные цели. Отсуствие четких дедлайнов. Напряженная атмосфера в команде,
2022-12-02 16:42:04,Респондент 146,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,,,,
2022-12-14 15:54:33,Респондент 42,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,,,,
2022-12-05 17:56:21,Респондент 162,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Долгожданный переезд офиса). Увеличение зарплат),Выбор печенек.,нет,
2022-12-02 12:59:27,Респондент 122,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Да,"Офис, ДМС, Ясно. и то, что мы из аля-стартапной компании почти превратились в более структурированную, лучше знающую куда и как двигаться, компанию. в которой всё эффективнее и эффективнее используется ресурс её профессионалов",мало корпоративов и их масштаб,"думаю, что компании есть ещё куда развиться в том, чтобы лучше передавать экспертный опыт от сотрудника к сотруднику, от команды к команде",Спасибо!:)
